Latitude (decimal degrees):	59.794
Longitude (decimal degrees):	7.568
Elevation (m):	914
Radiation database:	PVGIS-SARAH3


Slope: 46 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200321:0411,0.0,0.0,0.0,-13.48,1.66,0.0
20200321:0511,0.0,0.0,0.0,-13.7,1.59,0.0
20200321:0611,568.43,605.57,4.45,-13.82,1.52,0.0
20200321:0711,813.99,909.94,11.76,-13.33,1.1,0.0
20200321:0811,889.96,1028.39,18.45,-11.43,0.83,0.0
20200321:0911,908.68,1083.62,24.07,-8.58,0.48,0.0
20200321:1011,909.99,1108.07,28.14,-6.82,0.21,0.0
20200321:1111,26.63,42.98,30.23,-6.38,0.9,0.0
20200321:1211,25.77,42.04,30.09,-5.69,1.1,0.0
20200321:1311,161.06,190.06,27.73,-5.16,1.03,0.0
20200321:1411,895.0,1076.18,23.44,-4.69,0.83,0.0
20200321:1511,8.93,20.58,17.66,-4.51,0.41,0.0
20200321:1611,337.13,374.66,10.87,-5.92,0.41,0.0
20200321:1711,0.0,1.89,3.5,-9.0,0.97,0.0
20200321:1811,0.0,0.0,0.0,-10.6,1.1,0.0
20200321:1911,0.0,0.0,0.0,-11.58,1.17,0.0
20200321:2011,0.0,0.0,0.0,-11.97,1.17,0.0
20200321:2111,0.0,0.0,0.0,-12.5,1.31,0.0
20200321:2211,0.0,0.0,0.0,-11.96,1.1,0.0
20200321:2311,0.0,0.0,0.0,-11.93,0.9,0.0
20200322:0011,0.0,0.0,0.0,-11.91,0.76,0.0
20200322:0111,0.0,0.0,0.0,-11.71,0.76,0.0
20200322:0211,0.0,0.0,0.0,-12.37,0.76,0.0
20200322:0311,0.0,0.0,0.0,-11.89,0.62,0.0
20200322:0411,0.0,0.0,0.0,-12.62,0.62,0.0
20200322:0511,0.0,0.0,0.0,-13.0,0.76,0.0
20200322:0611,0.0,3.2,4.83,-13.12,0.76,0.0
20200322:0711,802.73,918.09,12.14,-11.37,0.48,0.0
20200322:0811,236.05,262.29,18.84,-10.29,0.48,0.0
20200322:0911,915.17,1088.65,24.46,-8.9,0.55,0.0
20200322:1011,935.4,1110.88,28.54,-7.85,0.97,0.0
20200322:1111,497.51,553.51,30.63,-6.76,1.45,0.0
20200322:1211,949.12,1119.33,30.47,-5.86,1.79,0.0
20200322:1311,331.81,369.48,28.09,-5.42,2.28,0.0
20200322:1411,616.43,687.22,23.78,-4.99,2.62,0.0
20200322:1511,879.69,1016.86,17.98,-5.15,2.28,0.0
20200322:1611,520.14,574.73,11.18,-5.42,1.93,0.0
20200322:1711,0.0,2.52,3.81,-5.64,1.93,0.0
20200322:1811,0.0,0.0,0.0,-6.12,1.79,0.0
20200322:1911,0.0,0.0,0.0,-6.33,1.66,0.0
20200322:2011,0.0,0.0,0.0,-6.76,1.59,0.0
20200322:2111,0.0,0.0,0.0,-6.95,1.66,0.0
20200322:2211,0.0,0.0,0.0,-7.16,1.66,0.0
20200322:2311,0.0,0.0,0.0,-6.84,1.72,0.0
20200323:0011,0.0,0.0,0.0,-6.67,1.86,0.0
20200323:0111,0.0,0.0,0.0,-6.53,2.0,0.0
20200323:0211,0.0,0.0,0.0,-6.62,1.93,0.0
20200323:0311,0.0,0.0,0.0,-7.2,1.72,0.0
20200323:0411,0.0,0.0,0.0,-7.47,1.59,0.0
20200323:0511,0.0,0.0,0.0,-7.4,1.45,0.0
20200323:0611,0.0,3.84,5.21,-7.3,1.38,0.0
20200323:0711,3.79,12.76,12.53,-6.24,1.17,0.0
20200323:0811,10.86,23.12,19.23,-6.11,1.45,0.0
20200323:0911,929.81,1096.12,24.86,-5.18,1.79,0.0
20200323:1011,945.28,1119.8,28.94,-4.09,2.0,0.0
20200323:1111,162.13,192.5,31.03,-3.2,2.14,0.0
20200323:1211,150.94,181.13,30.86,-2.22,2.41,0.0
20200323:1311,798.16,926.49,28.46,-2.1,2.41,0.0
20200323:1411,725.42,831.99,24.12,-2.42,2.34,0.0
20200323:1511,79.21,102.67,18.31,-2.93,2.69,0.0
20200323:1611,20.29,35.65,11.49,-3.26,2.55,0.0
20200323:1711,0.0,0.0,0.0,-4.0,2.34,0.0
20200323:1811,0.0,0.0,0.0,-4.79,2.07,0.0
20200323:1911,0.0,0.0,0.0,-5.48,2.14,0.0
20200323:2011,0.0,0.0,0.0,-5.94,1.86,0.0
20200323:2111,0.0,0.0,0.0,-6.17,1.79,0.0
20200323:2211,0.0,0.0,0.0,-6.72,1.86,0.0
20200323:2311,0.0,0.0,0.0,-7.28,2.0,0.0
20200324:0011,0.0,0.0,0.0,-7.45,2.0,0.0
20200324:0111,0.0,0.0,0.0,-7.8,2.07,0.0
20200324:0211,0.0,0.0,0.0,-8.06,2.14,0.0
20200324:0311,0.0,0.0,0.0,-8.0,2.21,0.0
20200324:0411,0.0,0.0,0.0,-7.74,2.28,0.0
20200324:0511,0.0,0.0,0.0,-7.63,2.21,0.0
20200324:0611,96.88,117.61,5.59,-7.02,2.0,0.0
20200324:0711,763.17,866.14,12.91,-6.13,1.86,0.0
20200324:0811,657.13,740.55,19.62,-5.26,1.79,0.0
20200324:0911,304.61,340.74,25.26,-4.88,2.0,0.0
20200324:1011,915.87,1072.95,29.34,-3.2,2.55,0.0
20200324:1111,942.22,1108.41,31.43,-1.93,2.97,0.0
20200324:1211,910.5,1065.41,31.25,-1.24,3.24,0.0
20200324:1311,144.75,174.87,28.83,-0.99,3.31,0.0
20200324:1411,696.25,793.6,24.47,-1.11,3.1,0.0
20200324:1511,28.92,46.5,18.63,-1.1,3.72,0.0
20200324:1611,22.36,38.45,11.8,-1.49,3.59,0.0
20200324:1711,499.78,550.85,4.41,-2.07,3.38,0.0
20200324:1811,0.0,0.0,0.0,-3.18,3.03,0.0
20200324:1911,0.0,0.0,0.0,-3.59,2.76,0.0
20200324:2011,0.0,0.0,0.0,-4.17,2.48,0.0
20200324:2111,0.0,0.0,0.0,-4.54,2.55,0.0
20200324:2211,0.0,0.0,0.0,-4.71,2.62,0.0
20200324:2311,0.0,0.0,0.0,-4.95,2.69,0.0
20200325:0011,0.0,0.0,0.0,-4.96,2.69,0.0
20200325:0111,0.0,0.0,0.0,-4.54,2.76,0.0
20200325:0211,0.0,0.0,0.0,-3.62,2.9,0.0
20200325:0311,0.0,0.0,0.0,-3.28,2.9,0.0
20200325:0411,0.0,0.0,0.0,-2.66,2.9,0.0
20200325:0511,0.0,0.0,0.0,-2.28,2.97,0.0
20200325:0611,18.94,33.78,5.97,-1.6,3.1,0.0
20200325:0711,28.55,46.17,13.3,-0.61,3.17,0.0
20200325:0811,168.09,198.92,20.01,0.1,3.38,0.0
20200325:0911,24.3,41.15,25.66,0.62,3.59,0.0
20200325:1011,23.6,40.38,29.74,1.27,3.86,0.0
20200325:1111,26.38,43.86,31.83,1.44,4.07,0.0
20200325:1211,26.25,43.78,31.63,1.88,4.0,0.0
20200325:1311,22.73,39.29,29.19,1.23,3.1,0.0
20200325:1411,16.19,30.98,24.81,1.76,3.17,0.0
20200325:1511,14.12,28.2,18.95,1.54,3.52,0.0
20200325:1611,3.09,11.89,12.1,1.45,3.24,0.0
20200325:1711,0.0,3.15,4.71,1.06,2.76,0.0
20200325:1811,0.0,0.0,0.0,0.75,2.62,0.0
20200325:1911,0.0,0.0,0.0,0.42,2.07,0.0
20200325:2011,0.0,0.0,0.0,0.45,2.21,0.0
20200325:2111,0.0,0.0,0.0,0.25,2.28,0.0
20200325:2211,0.0,0.0,0.0,0.11,2.28,0.0
20200325:2311,0.0,0.0,0.0,-0.06,2.28,0.0
20200326:0011,0.0,0.0,0.0,-0.36,2.21,0.0
20200326:0111,0.0,0.0,0.0,-0.75,2.21,0.0
20200326:0211,0.0,0.0,0.0,-0.79,2.14,0.0
20200326:0311,0.0,0.0,0.0,-1.02,1.93,0.0
20200326:0411,0.0,0.0,0.0,-1.05,1.79,0.0
20200326:0511,0.0,0.0,0.0,-1.7,1.66,0.0
20200326:0611,0.0,5.14,6.35,-1.93,1.52,0.0
20200326:0711,764.54,900.57,13.68,-1.0,1.31,0.0
20200326:0811,815.13,972.48,20.4,-0.17,1.45,0.0
20200326:0911,880.37,1063.8,26.06,0.78,1.72,0.0
20200326:1011,831.04,986.17,30.15,1.29,2.41,0.0
20200326:1111,545.69,627.95,32.22,1.65,2.41,0.0
20200326:1211,320.92,370.89,32.02,1.92,2.07,0.0
20200326:1311,336.82,388.65,29.55,1.71,1.59,0.0
20200326:1411,865.97,1053.91,25.15,1.75,1.52,0.0
20200326:1511,678.66,799.55,19.27,1.51,1.31,0.0
20200326:1611,729.87,865.85,12.41,1.07,1.17,0.0
20200326:1711,55.22,75.9,5.01,0.63,1.17,0.0
20200326:1811,0.0,0.0,0.0,-0.13,1.17,0.0
20200326:1911,0.0,0.0,0.0,-0.66,1.31,0.0
20200326:2011,0.0,0.0,0.0,-0.97,1.31,0.0
20200326:2111,0.0,0.0,0.0,-1.25,1.31,0.0
20200326:2211,0.0,0.0,0.0,-1.47,1.24,0.0
20200326:2311,0.0,0.0,0.0,-1.41,1.1,0.0
20200327:0011,0.0,0.0,0.0,-1.41,0.97,0.0
20200327:0111,0.0,0.0,0.0,-1.41,0.9,0.0
20200327:0211,0.0,0.0,0.0,-2.03,1.03,0.0
20200327:0311,0.0,0.0,0.0,-2.0,1.03,0.0
20200327:0411,0.0,0.0,0.0,-2.0,1.17,0.0
20200327:0511,0.0,0.0,0.0,-1.6,1.24,0.0
20200327:0611,244.76,277.35,6.73,-1.8,1.38,0.0
20200327:0711,792.15,936.7,14.06,-1.06,1.38,0.0
20200327:0811,867.84,1038.04,20.79,-0.52,1.72,0.0
20200327:0911,902.15,1088.94,26.45,-0.25,1.72,0.0
20200327:1011,921.78,1111.4,30.55,0.15,2.07,0.0
20200327:1111,707.6,820.71,32.62,0.44,2.62,0.0
20200327:1211,291.24,334.66,32.4,0.24,2.69,0.0
20200327:1311,926.56,1106.95,29.92,0.3,2.62,0.0
20200327:1411,390.77,442.29,25.49,0.18,2.69,0.0
20200327:1511,753.86,872.95,19.59,-0.21,2.62,0.0
20200327:1611,773.2,896.74,12.72,-0.81,2.34,0.0
20200327:1711,551.07,618.59,5.31,-1.51,2.14,0.0
20200327:1811,0.0,0.0,0.0,-2.61,2.0,0.0
20200327:1911,0.0,0.0,0.0,-3.49,1.93,0.0
20200327:2011,0.0,0.0,0.0,-4.49,1.93,0.0
20200327:2111,0.0,0.0,0.0,-5.19,1.93,0.0
20200327:2211,0.0,0.0,0.0,-5.57,1.93,0.0
20200327:2311,0.0,0.0,0.0,-5.73,2.0,0.0
20200328:0011,0.0,0.0,0.0,-5.85,1.93,0.0
20200328:0111,0.0,0.0,0.0,-5.94,1.79,0.0
20200328:0211,0.0,0.0,0.0,-6.13,1.79,0.0
20200328:0311,0.0,0.0,0.0,-6.12,1.86,0.0
20200328:0411,0.0,0.0,0.0,-5.92,2.0,0.0
20200328:0511,0.0,0.0,0.0,-5.66,2.41,0.0
20200328:0611,694.43,774.18,7.11,-5.71,2.48,0.0
20200328:0711,847.95,978.81,14.45,-5.23,2.0,0.0
20200328:0811,920.38,1075.71,21.18,-4.57,2.28,0.0
20200328:0911,964.78,1121.36,26.85,-3.81,3.31,0.0
20200328:1011,870.99,999.79,30.95,-3.19,3.59,0.0
20200328:1111,795.14,902.41,33.01,-2.93,4.0,0.0
20200328:1211,728.49,817.07,32.78,-2.81,4.69,0.0
20200328:1311,790.75,892.06,30.28,-2.72,4.62,0.0
20200328:1411,818.27,924.84,25.83,-2.77,4.55,0.0
20200328:1511,893.27,1018.29,19.91,-3.0,4.28,0.0
20200328:1611,832.5,940.51,13.02,-3.66,3.93,0.0
20200328:1711,624.23,683.93,5.61,-4.61,4.07,0.0
20200328:1811,0.0,0.0,0.0,-5.9,3.72,0.0
20200328:1911,0.0,0.0,0.0,-7.24,3.66,0.0
20200328:2011,0.0,0.0,0.0,-8.07,3.52,0.0
20200328:2111,0.0,0.0,0.0,-8.75,3.1,0.0
20200328:2211,0.0,0.0,0.0,-9.18,2.69,0.0
20200328:2311,0.0,0.0,0.0,-9.67,2.55,0.0
20200329:0011,0.0,0.0,0.0,-10.16,2.28,0.0
20200329:0111,0.0,0.0,0.0,-10.51,2.14,0.0
20200329:0211,0.0,0.0,0.0,-10.96,2.0,0.0
20200329:0311,0.0,0.0,0.0,-11.37,2.07,0.0
20200329:0411,0.0,0.0,0.0,-11.67,2.14,0.0
20200329:0511,0.0,0.0,0.0,-11.88,2.07,0.0
20200329:0611,716.75,784.56,7.48,-11.43,1.93,0.0
20200329:0711,865.9,980.79,14.83,-10.36,1.72,0.0
20200329:0811,242.99,269.8,21.57,-8.59,2.28,0.0
20200329:0911,745.62,828.09,27.24,-6.98,3.45,0.0
20200329:1011,670.94,738.96,31.34,-5.65,4.62,0.0
20200329:1111,465.57,511.69,33.41,-4.87,4.69,0.0
20200329:1211,826.59,927.64,33.16,-4.26,4.83,0.0
20200329:1311,527.02,579.91,30.64,-3.96,4.97,0.0
20200329:1411,972.75,1110.89,26.17,-3.9,4.69,0.0
20200329:1511,207.45,236.32,20.23,-3.8,4.34,0.0
20200329:1611,591.6,652.13,13.32,-3.89,3.86,0.0
20200329:1711,629.78,697.83,5.91,-4.43,2.9,0.0
20200329:1811,0.0,0.0,0.0,-5.46,2.41,0.0
20200329:1911,0.0,0.0,0.0,-5.81,2.48,0.0
20200329:2011,0.0,0.0,0.0,-5.96,2.21,0.0
20200329:2111,0.0,0.0,0.0,-5.87,1.86,0.0
20200329:2211,0.0,0.0,0.0,-6.61,1.72,0.0
20200329:2311,0.0,0.0,0.0,-6.49,1.52,0.0
20200330:0011,0.0,0.0,0.0,-6.5,1.45,0.0
20200330:0111,0.0,0.0,0.0,-6.49,1.52,0.0
20200330:0211,0.0,0.0,0.0,-6.82,1.66,0.0
20200330:0311,0.0,0.0,0.0,-6.86,1.59,0.0
20200330:0411,0.0,0.0,0.0,-6.73,1.52,0.0
20200330:0511,0.0,0.0,0.0,-6.88,1.52,0.0
20200330:0611,690.84,776.93,7.86,-6.75,1.45,0.0
20200330:0711,821.19,971.39,15.21,-4.12,0.9,0.0
20200330:0811,889.83,1064.68,21.96,-4.3,1.03,0.0
20200330:0911,919.49,1110.52,27.64,-3.27,1.17,0.0
20200330:1011,746.04,881.66,31.74,-2.74,0.83,0.0
20200330:1111,624.6,723.54,33.8,-2.27,1.03,0.0
20200330:1211,505.57,576.34,33.54,-2.1,1.38,0.0
20200330:1311,913.53,1092.44,31.0,-1.91,1.86,0.0
20200330:1411,477.93,538.86,26.5,-1.86,2.07,0.0
20200330:1511,883.64,1042.65,20.54,-2.26,2.07,0.0
20200330:1611,799.22,930.08,13.63,-2.75,1.79,0.0
20200330:1711,63.79,84.2,6.21,-3.49,1.52,0.0
20200330:1811,0.0,0.0,0.0,-4.06,1.31,0.0
20200330:1911,0.0,0.0,0.0,-3.93,1.31,0.0
20200330:2011,0.0,0.0,0.0,-4.54,1.31,0.0
20200330:2111,0.0,0.0,0.0,-5.38,1.38,0.0
20200330:2211,0.0,0.0,0.0,-6.32,1.45,0.0
20200330:2311,0.0,0.0,0.0,-7.47,1.59,0.0
20200331:0011,0.0,0.0,0.0,-8.57,1.72,0.0
20200331:0111,0.0,0.0,0.0,-9.24,1.86,0.0
20200331:0211,0.0,0.0,0.0,-9.58,1.93,0.0
20200331:0311,0.0,0.0,0.0,-9.94,2.07,0.0
20200331:0411,0.0,0.0,0.0,-10.24,2.28,0.0
20200331:0511,0.0,0.0,0.0,-10.34,2.48,0.0
20200331:0611,13.59,26.52,8.24,-9.16,2.55,0.0
20200331:0711,34.09,51.46,15.59,-7.6,2.21,0.0
20200331:0811,383.82,424.17,22.34,-4.97,2.48,0.0
20200331:0911,828.9,949.12,28.03,-3.08,3.31,0.0
20200331:1011,220.68,254.69,32.14,-1.81,4.41,0.0
20200331:1111,29.67,47.39,34.2,-1.2,5.03,0.0
20200331:1211,486.27,543.61,33.92,-0.64,5.1,0.0
20200331:1311,751.92,860.73,31.36,-0.5,3.79,0.0
20200331:1411,18.91,34.23,26.84,-0.35,4.21,0.0
20200331:1511,41.72,61.75,20.86,-0.41,3.31,0.0
20200331:1611,49.23,69.93,13.93,-0.96,3.86,0.0
20200331:1711,453.68,501.49,6.5,-1.55,3.59,0.0
20200331:1811,0.0,0.0,0.0,-2.85,3.17,0.0
20200331:1911,0.0,0.0,0.0,-3.53,2.62,0.0
20200331:2011,0.0,0.0,0.0,-4.02,2.41,0.0
20200331:2111,0.0,0.0,0.0,-4.61,2.55,0.0
20200331:2211,0.0,0.0,0.0,-5.06,2.48,0.0
20200331:2311,0.0,0.0,0.0,-5.46,2.41,0.0
20200401:0011,0.0,0.0,0.0,-5.82,2.41,0.0
20200401:0111,0.0,0.0,0.0,-5.82,2.28,0.0
20200401:0211,0.0,0.0,0.0,-5.86,2.14,0.0
20200401:0311,0.0,0.0,0.0,-5.86,2.07,0.0
20200401:0411,0.0,0.0,0.0,-6.14,2.07,0.0
20200401:0511,0.0,0.0,0.0,-5.86,1.86,0.0
20200401:0611,493.01,543.09,8.61,-5.8,1.72,0.0
20200401:0711,731.31,840.77,15.96,-3.99,1.52,0.0
20200401:0811,48.6,69.07,22.72,-2.93,2.0,0.0
20200401:0911,766.33,877.05,28.42,-1.52,3.38,0.0
20200401:1011,634.08,714.54,32.53,-0.63,4.41,0.0
20200401:1111,66.14,89.51,34.59,-0.3,4.55,0.0
20200401:1211,104.82,132.16,34.3,-0.12,4.83,0.0
20200401:1311,24.94,41.83,31.71,0.0,5.1,0.0
20200401:1411,57.55,79.86,27.17,-0.08,5.03,0.0
20200401:1511,24.41,41.16,21.17,-0.07,4.62,0.0
20200401:1611,8.51,20.29,14.23,-0.23,3.52,0.0
20200401:1711,303.02,335.86,6.8,-1.19,5.52,0.0
20200401:1811,0.0,0.0,0.0,-2.13,5.03,0.0
20200401:1911,0.0,0.0,0.0,-2.52,4.21,0.0
20200401:2011,0.0,0.0,0.0,-2.81,4.07,0.0
20200401:2111,0.0,0.0,0.0,-3.17,3.79,0.0
20200401:2211,0.0,0.0,0.0,-3.55,3.86,0.0
20200401:2311,0.0,0.0,0.0,-3.4,4.07,0.0
20200402:0011,0.0,0.0,0.0,-3.2,4.14,0.0
20200402:0111,0.0,0.0,0.0,-2.99,4.48,0.0
20200402:0211,0.0,0.0,0.0,-3.1,4.76,0.0
20200402:0311,0.0,0.0,0.0,-3.42,4.97,0.0
20200402:0411,0.0,0.0,0.0,-3.88,4.9,0.0
20200402:0511,0.0,0.44,1.45,-3.38,5.79,0.0
20200402:0611,1.64,9.08,8.98,-2.95,6.07,0.0
20200402:0711,6.99,17.9,16.34,-2.56,5.17,0.0
20200402:0811,21.56,37.28,23.11,-2.48,5.31,0.0
20200402:0911,45.9,66.09,28.81,-2.25,4.14,0.0
20200402:1011,80.53,104.15,32.93,-3.21,5.79,0.0
20200402:1111,202.13,231.79,34.98,-4.53,7.24,0.0
20200402:1211,171.98,199.67,34.67,-5.56,6.55,0.0
20200402:1311,73.36,95.6,32.07,-5.26,4.9,0.0
20200402:1411,184.08,212.51,27.5,-4.69,4.55,0.0
20200402:1511,11.71,24.39,21.49,-4.52,4.76,0.0
20200402:1611,28.51,45.48,14.53,-4.2,5.45,0.0
20200402:1711,125.08,147.42,7.09,-4.62,7.59,0.0
20200402:1811,0.0,0.0,0.0,-5.0,6.0,0.0
20200402:1911,0.0,0.0,0.0,-4.89,6.0,0.0
20200402:2011,0.0,0.0,0.0,-4.57,6.48,0.0
20200402:2111,0.0,0.0,0.0,-4.78,6.07,0.0
20200402:2211,0.0,0.0,0.0,-5.17,5.45,0.0
20200402:2311,0.0,0.0,0.0,-5.39,5.1,0.0
20200403:0011,0.0,0.0,0.0,-5.64,4.69,0.0
20200403:0111,0.0,0.0,0.0,-6.09,4.34,0.0
20200403:0211,0.0,0.0,0.0,-6.41,4.21,0.0
20200403:0311,0.0,0.0,0.0,-6.86,3.93,0.0
20200403:0411,0.0,0.0,0.0,-7.33,3.66,0.0
20200403:0511,0.0,0.87,1.82,-7.93,3.38,0.0
20200403:0611,711.01,779.23,9.35,-8.14,3.24,0.0
20200403:0711,854.26,960.99,16.72,-7.62,2.97,0.0
20200403:0811,449.99,488.51,23.49,-6.84,4.14,0.0
20200403:0911,562.08,613.53,29.2,-6.35,4.41,0.0
20200403:1011,231.68,261.87,33.32,-5.76,4.76,0.0
20200403:1111,167.42,195.41,35.36,-5.53,4.83,0.0
20200403:1211,143.74,170.65,35.05,-5.36,4.9,0.0
20200403:1311,150.58,177.75,32.42,-5.44,4.34,0.0
20200403:1411,20.08,35.04,27.83,-5.67,4.28,0.0
20200403:1511,12.35,25.16,21.8,-5.72,3.79,0.0
20200403:1611,14.53,27.99,14.83,-6.23,3.17,0.0
20200403:1711,184.21,207.51,7.38,-6.99,2.76,0.0
20200403:1811,0.0,0.0,0.0,-7.93,2.34,0.0
20200403:1911,0.0,0.0,0.0,-8.53,2.21,0.0
20200403:2011,0.0,0.0,0.0,-9.25,2.21,0.0
20200403:2111,0.0,0.0,0.0,-9.45,2.21,0.0
20200403:2211,0.0,0.0,0.0,-9.52,2.28,0.0
20200403:2311,0.0,0.0,0.0,-8.93,2.21,0.0
20200404:0011,0.0,0.0,0.0,-8.68,2.76,0.0
20200404:0111,0.0,0.0,0.0,-8.05,2.69,0.0
20200404:0211,0.0,0.0,0.0,-8.0,2.97,0.0
20200404:0311,0.0,0.0,0.0,-8.06,2.76,0.0
20200404:0411,0.0,0.0,0.0,-8.12,2.48,0.0
20200404:0511,0.0,0.87,2.19,-8.68,2.21,0.0
20200404:0611,16.75,30.56,9.72,-9.17,1.86,0.0
20200404:0711,203.73,228.24,17.09,-8.96,1.86,0.0
20200404:0811,124.51,148.78,23.87,-7.84,1.86,0.0
20200404:0911,382.35,422.62,29.58,-6.71,1.93,0.0
20200404:1011,305.2,342.25,33.71,-5.68,1.93,0.0
20200404:1111,164.18,193.61,35.75,-4.85,2.0,0.0
20200404:1211,85.32,109.38,35.42,-4.11,2.07,0.0
20200404:1311,184.68,216.14,32.77,-3.64,2.0,0.0
20200404:1411,101.25,127.11,28.16,-3.2,1.72,0.0
20200404:1511,58.28,80.04,22.1,-2.92,1.38,0.0
20200404:1611,80.01,103.27,15.12,-2.93,1.24,0.0
20200404:1711,165.4,192.32,7.67,-3.02,1.03,0.0
20200404:1811,0.0,0.0,0.0,-2.98,0.97,0.0
20200404:1911,0.0,0.0,0.0,-3.16,1.1,0.0
20200404:2011,0.0,0.0,0.0,-3.49,1.24,0.0
20200404:2111,0.0,0.0,0.0,-3.68,1.31,0.0
20200404:2211,0.0,0.0,0.0,-3.45,1.31,0.0
20200404:2311,0.0,0.0,0.0,-3.36,1.31,0.0
20200405:0011,0.0,0.0,0.0,-3.11,1.24,0.0
20200405:0111,0.0,0.0,0.0,-3.05,1.24,0.0
20200405:0211,0.0,0.0,0.0,-3.2,1.24,0.0
20200405:0311,0.0,0.0,0.0,-3.2,1.31,0.0
20200405:0411,0.0,0.0,0.0,-3.16,1.38,0.0
20200405:0511,0.0,0.88,2.56,-3.02,1.45,0.0
20200405:0611,35.29,53.4,10.09,-2.85,1.52,0.0
20200405:0711,27.42,44.53,17.46,-2.43,1.45,0.0
20200405:0811,49.71,70.83,24.24,-1.04,2.28,0.0
20200405:0911,64.44,87.68,29.97,-0.45,2.21,0.0
20200405:1011,60.56,83.55,34.1,0.33,2.9,0.0
20200405:1111,54.93,77.24,36.13,0.58,3.17,0.0
20200405:1211,56.17,78.75,35.79,0.94,3.31,0.0
20200405:1311,106.39,134.83,33.12,1.3,3.31,0.0
20200405:1411,64.2,87.99,28.49,1.33,2.55,0.0
20200405:1511,29.22,47.26,22.41,1.03,2.55,0.0
20200405:1611,33.02,51.79,15.42,0.58,2.48,0.0
20200405:1711,330.36,370.77,7.96,-0.08,2.62,0.0
20200405:1811,0.0,0.0,0.0,-1.12,2.62,0.0
20200405:1911,0.0,0.0,0.0,-1.64,2.48,0.0
20200405:2011,0.0,0.0,0.0,-1.77,2.34,0.0
20200405:2111,0.0,0.0,0.0,-2.18,2.21,0.0
20200405:2211,0.0,0.0,0.0,-2.82,2.14,0.0
20200405:2311,0.0,0.0,0.0,-3.46,2.21,0.0
20200406:0011,0.0,0.0,0.0,-3.73,2.14,0.0
20200406:0111,0.0,0.0,0.0,-3.73,1.93,0.0
20200406:0211,0.0,0.0,0.0,-3.31,1.72,0.0
20200406:0311,0.0,0.0,0.0,-3.35,1.72,0.0
20200406:0411,0.0,0.0,0.0,-3.03,1.72,0.0
20200406:0511,0.0,4.39,2.93,-3.0,1.72,0.0
20200406:0611,668.52,762.67,10.46,-1.95,2.0,0.0
20200406:0711,491.77,552.18,17.83,-1.82,2.14,0.0
20200406:0811,354.5,399.71,24.62,-0.9,2.62,0.0
20200406:0911,427.05,483.57,30.35,0.01,2.76,0.0
20200406:1011,383.22,436.13,34.48,0.99,3.38,0.0
20200406:1111,328.92,377.19,36.52,1.64,3.79,0.0
20200406:1211,296.84,343.08,36.16,2.34,3.72,0.0
20200406:1311,317.27,364.97,33.47,2.41,3.66,0.0
20200406:1411,408.37,465.96,28.81,2.75,3.52,0.0
20200406:1511,850.17,1006.42,22.72,2.82,3.24,0.0
20200406:1611,193.17,226.55,15.71,2.1,3.1,0.0
20200406:1711,589.52,670.92,8.25,1.75,2.97,0.0
20200406:1811,0.0,0.0,0.0,1.16,2.34,0.0
20200406:1911,0.0,0.0,0.0,0.84,1.52,0.0
20200406:2011,0.0,0.0,0.0,0.85,1.17,0.0
20200406:2111,0.0,0.0,0.0,0.8,0.97,0.0
20200406:2211,0.0,0.0,0.0,0.55,1.17,0.0
20200406:2311,0.0,0.0,0.0,0.13,1.31,0.0
20200407:0011,0.0,0.0,0.0,0.25,2.0,0.0
20200407:0111,0.0,0.0,0.0,0.58,3.03,0.0
20200407:0211,0.0,0.0,0.0,0.36,3.17,0.0
20200407:0311,0.0,0.0,0.0,-0.19,3.31,0.0
20200407:0411,0.0,0.0,0.0,-1.27,3.24,0.0
20200407:0511,0.0,2.2,3.29,-2.12,2.97,0.0
20200407:0611,250.99,282.8,10.82,-2.26,2.69,0.0
20200407:0711,509.57,566.71,18.19,-1.72,3.66,0.0
20200407:0811,450.07,502.09,24.99,-1.0,4.07,0.0
20200407:0911,264.94,302.86,30.73,-0.25,4.62,0.0
20200407:1011,286.17,327.71,34.87,0.13,3.93,0.0
20200407:1111,217.56,254.79,36.9,0.53,3.86,0.0
20200407:1211,359.12,409.57,36.53,0.81,3.45,0.0
20200407:1311,329.56,377.08,33.81,0.96,3.1,0.0
20200407:1411,70.83,95.31,29.14,1.03,2.9,0.0
20200407:1511,199.5,233.95,23.02,0.85,2.55,0.0
20200407:1611,459.84,519.75,16.0,0.44,2.34,0.0
20200407:1711,381.29,428.96,8.54,-0.13,1.93,0.0
20200407:1811,0.0,0.0,0.0,-1.13,1.66,0.0
20200407:1911,0.0,0.0,0.0,-1.58,1.59,0.0
20200407:2011,0.0,0.0,0.0,-1.61,1.45,0.0
20200407:2111,0.0,0.0,0.0,-2.43,1.59,0.0
20200407:2211,0.0,0.0,0.0,-2.89,1.59,0.0
20200407:2311,0.0,0.0,0.0,-3.3,1.72,0.0
20200408:0011,0.0,0.0,0.0,-3.91,1.93,0.0
20200408:0111,0.0,0.0,0.0,-3.14,2.55,0.0
20200408:0211,0.0,0.0,0.0,-2.64,3.03,0.0
20200408:0311,0.0,0.0,0.0,-2.54,3.1,0.0
20200408:0411,0.0,0.0,0.0,-2.33,3.31,0.0
